"project_id","project_location_id","precision_code","geoname_id","place_name","latitude","longitude","location_type_code","location_type_name","gazetteer_adm_code","gazetteer_adm_name","location_class","geographic_exactness"
"34450","34450_1281381","3","1281381","Dehong Daizu Jingpozu Zizhizhou","24.66347","98.03964","ADM2","second-order administrative division","6295630|6255147|CN|29|1281381","Earth|Asia|China|Yunnan|Dehong Daizu Jingpozu Zizhizhou","1","1"
"34133","34133_1281381","3","1281381","Dehong Daizu Jingpozu Zizhizhou","24.66347","98.03964","ADM2","second-order administrative division","6295630|6255147|CN|29|1281381","Earth|Asia|China|Yunnan|Dehong Daizu Jingpozu Zizhizhou","1","1"
"32996","32996_7731058","3","7731058","Dodoma Urban District","-6.15973","35.798","ADM2","second-order administrative division","6295630|6255146|TZ|03|7731058","Earth|Africa|Tanzania|Dodoma|Dodoma Urban District","1","1"
"37095","37095_3682314","3","3682314","Frontino","6.66667","-76.33333","ADM2","second-order administrative division","6295630|6255150|CO|02|3682314","Earth|South America|Colombia|Antioquia|Frontino","1","1"
"37190","37190_3682263","3","3682263","Gachancipá","4.98648","-73.89989","ADM2","second-order administrative division","6295630|6255150|CO|33|3682263","Earth|South America|Colombia|Cundinamarca|Gachancipá","1","1"
"34474","34474_1905125","3","1905125","Gia Lâm District","21.03156","105.97432","ADM2","second-order administrative division","6295630|6255147|VN|44|1905125","Earth|Asia|Vietnam|Thành Phố Hà Nội|Gia Lâm District","1","1"
"34474","34474_1905538","3","1905538","Hữu Lũng District","21.54474","106.34386","ADM2","second-order administrative division","6295630|6255147|VN|39|1905538","Earth|Asia|Vietnam|Tỉnh Lạng Sơn|Hữu Lũng District","1","1"
"34474","34474_1905586","3","1905586","Hạ Hòa District","21.57763","104.99464","ADM2","second-order administrative division","6295630|6255147|VN|83|1905586","Earth|Asia|Vietnam|Tỉnh Phú Thọ|Hạ Hòa District","1","1"
"35037","35037_443332","3","443332","Hoima District","1.393","31.11","ADM2","second-order administrative division","6295630|6255146|UG|W|443332","Earth|Africa|Uganda|Western Region|Hoima District","1","1"
"35270","35270_1905501","3","1905501","Huyện Đại Từ","21.63434","105.61529","ADM2","second-order administrative division","6295630|6255147|VN|85|1905501","Earth|Asia|Vietnam|Tỉnh Thái Nguyên|Huyện Đại Từ","1","1"
